ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt6c;ko_KArt7;ko_KArt8
PA02A;10;0,21;0,00;0,00;0,00;0,00;1,77;0,06;0,00;0,00;1,98;0,12;3,28;0,28;1,59
PA02A;11;0,46;0,26;0,00;0,00;0,00;0,48;0,01;0,00;0,00;0,05;0,01;0,11;0,11;0,30
PA02A;12;0,03;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,02
PA02A;13;0,66;1,03;0,00;0,00;0,00;0,27;0,01;0,00;0,00;0,04;0,00;0,00;0,08;0,47
PA02B;21;17,68;56,73;2,81;4,09;1,90;0,82;1,20;0,24;0,00;1,17;0,02;0,16;9,22;41,67
PA02B;22;13,35;42,49;1,92;2,53;1,27;0,50;0,81;0,34;0,00;0,82;0,01;0,09;6,12;27,42
PA02B;23;5,06;9,56;1,76;1,45;0,45;0,00;0,11;0,05;0,00;0,16;0,00;0,01;0,00;0,00
PA02B;24;0,00;0,01;0,00;0,00;0,54;0,00;0,00;0,00;0,00;0,01;0,01;0,06;0,04;0,23
PA02B;25;0,01;0,37;0,02;0,03;2,66;0,02;0,01;0,00;0,00;0,08;0,00;0,08;0,16;1,13
PA02B;26;0,02;0,02;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA02B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA02B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02B;8;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02
PA02B;9;0,18;0,00;0,00;0,00;0,00;0,23;0,00;0,00;0,00;0,03;0,01;0,33;0,09;0,14
PA02B;10;0,21;0,00;0,00;0,00;0,00;1,47;0,03;0,00;0,00;1,64;0,06;2,50;0,21;0,85
PA02B;11;0,38;0,12;0,00;0,00;0,00;0,46;0,00;0,00;0,00;0,04;0,00;0,17;0,08;0,25
PA02B;12;0,06;0,02;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,03;0,01;0,05
PA02B;13;0,78;1,10;0,00;0,00;0,00;0,33;0,01;0,00;0,00;0,05;0,00;0,00;0,09;0,53
PA02C;21;19,62;59,26;3,53;4,42;2,08;1,07;1,15;0,17;0,00;1,09;0,01;0,14;10,84;46,54
PA02C;22;9,91;28,20;1,37;1,85;0,80;0,35;0,49;0,07;0,00;0,51;0,00;0,06;4,51;19,83
PA02C;23;4,98;9,78;1,81;1,82;0,46;0,00;0,08;0,01;0,00;0,13;0,00;0,01;0,00;0,01
