IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
05 ;F51B;1514;0,4168;0,1149;0,1744;0,1572;0,1367;0,8791;0,1209;0;0;0;0;0;0;0;0;0;0,0007;0,0086;0,0218;0,0575;0,0964;0,3824;0,2312;0,2015;0,0114;0,9099;0,0787;2;18;8,7;5,138;0,0006;4;14428,53;4204,74
05 ;F52A;1412;0;0;0;0;1;0,6197;0,3803;0;0;0;0;0;0;0;0;0,0014;0,0042;0,0241;0,0354;0,051;0,0715;0,2649;0,2018;0,3456;0,1323;0,7657;0,102;3;25;12,2;2,262;0,0005;6,1;6350,94;2469,86
05 ;F52B;13114;0,5674;0,1793;0,1263;0,1268;0,0002;0,7355;0,2645;0;0;0,0014;0,0006;0,0005;0,0005;0,0005;0,0001;0,0015;0,0167;0,111;0,1102;0,119;0,1176;0,2565;0,1312;0,1328;0,023;0,905;0,072;1;12;6,1;1,386;0,005;2,5;3893,33;1301,81
05 ;F56A;238;0;0;0;0;1;0,6513;0,3487;0;0;0;0;0;0;0;0;0;0;0,0252;0,0546;0,0546;0,0966;0,3403;0,1807;0,2479;0,2216;0,7126;0,0659;3;23;10,9;2,547;0,0001;5,6;7152,41;2612,26
05 ;F56B;4005;0,6589;0,1453;0,1071;0,0886;0;0,7453;0,2547;0;0;0;0;0;0,0002;0;0;0,0005;0,0032;0,0469;0,0672;0,0889;0,1331;0,3436;0,1853;0,1311;0,2636;0,6723;0,0641;1;10;4,1;1,272;0,0015;2,3;3572,87;1313,97
05 ;F58A;675;0;0;0;0;1;0,6222;0,3778;0;0;0;0;0;0;0;0;0;0,0044;0,0296;0,0385;0,0578;0,0859;0,2578;0,2296;0,2963;0,1641;0,7533;0,0826;2;23;10,4;1,871;0,0003;5,6;5253,15;2050
05 ;F58B;12615;0,6757;0,1428;0,1016;0,0798;0;0,7232;0,2768;0;0;0;0;0;0;0;0;0,0002;0,0042;0,0439;0,0679;0,0945;0,1203;0,3382;0,1843;0,1465;0,3547;0,5738;0,0715;1;8;3,7;0,927;0,0048;1,9;2604,08;875,62
05 ;F59A;1296;0,0602;0,0108;0,0316;0,0417;0,8557;0,5216;0,4784;0;0;0;0;0,0015;0;0,0023;0,0015;0,0069;0,0093;0,034;0,0347;0,0386;0,0748;0,2477;0,1852;0,3634;0,2775;0,5994;0,123;4;29;14,2;2,857;0,0005;7,1;8024,1;3343,99
05 ;F59B;5466;0,5059;0,1347;0,161;0,1985;0;0,6392;0,3608;0;0;0;0;0,0009;0,0009;0,0031;0,002;0,0088;0,0112;0,0368;0,0604;0,0836;0,1123;0,2874;0,1579;0,2347;0,1768;0,7449;0,0784;2;19;8,8;1,75;0,0021;4,7;4914,84;1888,26
05 ;F59C;2974;0,6597;0,1126;0,113;0,1147;0;0,6012;0,3988;0;0;0;0;0;0;0;0,0034;0,0124;0,0178;0,0599;0,0612;0,0921;0,1234;0,2794;0,1638;0,1866;0,2131;0,7073;0,0797;1;12;4,8;1,275;0,0011;3,1;3580,61;1493,66
05 ;F59D;8004;0,6963;0,1099;0,1044;0,0893;0;0,6058;0,3942;0;0;0;0;0;0;0;0,0004;0,0041;0,0062;0,0366;0,058;0,0877;0,1114;0,3178;0,183;0,1947;0,3091;0,6108;0,0801;1;10;3,8;0,93;0,0031;2,4;2612,82;986,44
05 ;F60A;1459;0;0;0;0;1;0,5127;0,4873;0;0;0;0;0;0;0;0;0;0;0,0123;0,0082;0,011;0,0302;0,1666;0,1679;0,6038;0,1811;0,7444;0,0745;3;24;11,9;1,639;0,0006;5,5;4602,88;2198,34
05 ;F60B;3716;0,2874;0,1722;0,1903;0,3501;0;0,4629;0,5371;0;0;0;0;0;0;0;0;0,0019;0,0051;0,0274;0,0331;0,0396;0,0492;0,1491;0,1257;0,5689;0,1921;0,7515;0,0564;1;15;6,8;0,842;0,0014;3,4;2364,1;1179,76
05 ;F61A;76;0;0,0132;0,0395;0,25;0,6974;0,5921;0,4079;0;0;0;0;0;0;0;0;0,0132;0,0263;0,0658;0,0263;0,0789;0,0789;0,2895;0,1447;0,2763;0,0841;0,7103;0,2056;8;46;27,6;3,414;0;11;9588,27;4041,7
05 ;F61B;310;0,0903;0,1161;0,1323;0,3355;0,3258;0,6258;0,3742;0;0;0,0032;0;0,0032;0;0,0065;0;0,0258;0,029;0,0484;0,0484;0,0355;0,0871;0,229;0,1871;0,2968;0,1298;0,7062;0,164;7;43;25,4;2,653;0,0001;9,4;7449,13;3408,24
