IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
15 ;P04B;1541;0,2193;0,00;0,0026;0,4718;0,2012;0,0986;0,0065;0,5613;0,4387;0,00;0,9799;0,0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0499;0,8648;0,0853;10;51;30,50;8,677;0,0001;9,30
15 ;P05A;493;0,0061;0,00;0,002;0,2819;0,3793;0,2698;0,0609;0,6714;0,3286;0,00;0,9675;0,0325;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0354;0,7596;0,2049;8;44;23,30;8,956;0,00;8,80
15 ;P05B;350;0,0057;0,00;0,00;0,3086;0,36;0,3029;0,0229;0,5429;0,4571;0,00;0,9286;0,0714;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0659;0,8537;0,0805;7;42;20,90;6,917;0,00;8,30
15 ;P05C;510;0,3451;0,00;0,0196;0,5451;0,0706;0,0196;0,00;0,649;0,351;0,00;0,951;0,049;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0631;0,8472;0,0897;6;37;19,80;5,674;0,00;6,90
15 ;P06A;1208;0,0091;0,00;0,0017;0,2301;0,3386;0,346;0,0745;0,6151;0,3849;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0359;0,788;0,1761;7;43;20,20;9,002;0,0001;8,70
15 ;P06B;976;0,0092;0,00;0,0031;0,2725;0,4303;0,2602;0,0246;0,6393;0,3607;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0462;0,8356;0,1182;4;31;15,00;5,188;0,0001;6,40
15 ;P06C;1171;0,3049;0,0009;0,0538;0,5107;0,1213;0,0085;0,00;0,626;0,374;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1651;0,7704;0,0645;3;25;11,20;3,565;0,0001;4,80
15 ;P60A;1099;0,4113;0,00;0,0055;0,1829;0,1811;0,1965;0,0227;0,5723;0,4277;0,00;0,9945;0,0055;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,20;0,608;0,0001;0,60
15 ;P60B;1929;0,6661;0,00;0,014;0,184;0,0788;0,0555;0,0016;0,5811;0,4189;0,00;0,9819;0,0181;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,80;0,511;0,0001;0,90
15 ;P60C;13500;0,8204;0,0001;0,0119;0,1387;0,023;0,0057;0,0001;0,5753;0,4247;0,00;0,999;0,001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,30;0,205;0,001;0,70
15 ;P61A;137;0,00;0,00;0,00;0,00;0,0584;0,4161;0,5255;0,5328;0,4672;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0825;0,665;0,2524;42;148;111,20;49,879;0,00;25,40
15 ;P61B;219;0,0274;0,00;0,00;0,1461;0,2192;0,4749;0,1324;0,3607;0,6393;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1283;0,5733;0,2984;32;116;88,20;36,389;0,00;20,50
15 ;P61C;155;0,0129;0,00;0,00;0,0323;0,1097;0,40;0,4452;0,529;0,471;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0717;0,6175;0,3108;35;125;97,00;40,506;0,00;20,50
15 ;P61D;426;0,0258;0,00;0,00;0,223;0,2817;0,4061;0,0634;0,4085;0,5915;0,00;0,9977;0,0023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0614;0,7065;0,2322;27;103;79,50;27,635;0,00;17,00
15 ;P61E;131;0,00;0,00;0,00;0,0229;0,1985;0,5191;0,2595;0,5878;0,4122;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9776;0,0224;;27;11,70;6,875;0,00;5,90
15 ;P62A;129;0,00;0,00;0,00;0,0698;0,1395;0,4806;0,3101;0,6589;0,3411;0,00;0,9767;0,0233;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0881;0,5683;0,3436;28;106;76,70;32,719;0,00;19,10
15 ;P62B;354;0,0763;0,00;0,0056;0,2938;0,3616;0,2373;0,0254;0,4548;0,5452;0,00;0,9972;0,0028;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0508;0,6425;0,3067;22;86;65,40;22,512;0,00;14,00
15 ;P62C;842;0,1021;0,00;0,0036;0,3789;0,2838;0,2185;0,0131;0,4513;0,5487;0,00;0,9869;0,0131;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0331;0,7958;0,1711;21;83;60,70;18,668;0,0001;13,70
15 ;P62D;56;0,00;0,0179;0,00;0,0179;0,1429;0,4464;0,375;0,5357;0,4643;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;12,60;9,658;0,00;6,20
15 ;P63Z;444;0,3784;0,00;0,009;0,4257;0,1306;0,0563;0,00;0,4527;0,5473;0,00;0,9775;0,0225;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0731;0,8538;0,0731;12;56;38,00;8,602;0,00;9,20
15 ;P64Z;1505;0,5329;0,00;0,0086;0,3223;0,1043;0,0299;0,002;0,41;0,59;0,00;0,986;0,014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0289;0,8879;0,0832;10;49;30,30;6,797;0,0001;8,30
15 ;P65A;958;0,0459;0,00;0,00;0,5094;0,3236;0,1138;0,0073;0,5261;0,4739;0,00;0,9645;0,0355;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0428;0,8903;0,0669;8;46;26,80;6,319;0,0001;8,40
