ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8;ko_Summe
PA04B;25;0,03;0,38;0,03;0,05;4,39;0,16;0,01;0;0,16;0,19;0,3;2,15;7,84
PA04B;26;0,06;0,13;0,01;0,01;0,02;0,01;0;0;0;0;0,01;0,07;0,33
PA04C;4;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,02
PA04C;5;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,03
PA04C;7;0;0;0;0;0;0,01;0;0;0;0;0;0;0,02
PA04C;8;0,03;0;0;0;0;0,03;0;0;0,01;0,01;0,01;0,02;0,09
PA04C;9;0,19;0;0;0;0;0,25;0,01;0;0,07;0,56;0,13;0,17;1,39
PA04C;10;0,05;0;0;0;0;0,46;0;0;0,45;0,57;0,07;0,2;1,8
PA04C;11;0,5;0,26;0;0;0;0,7;0,01;0;0,06;0,07;0,1;0,47;2,15
PA04C;21;20,23;59,82;4,62;3,26;2,15;1,06;1,94;0,11;1,07;0,18;10,73;49,89;155,07
PA04C;22;2,35;6,97;0,28;0,34;0,25;0,17;0,28;0,02;0,14;0,02;1,37;5,55;17,73
PA04C;23;4,2;5,95;2,83;0,83;0,39;0,01;0,09;0,03;0,07;0,03;0,01;0,03;14,45
PA04C;24;0,05;0,08;0,02;0,01;1,76;0,07;0;0;0,03;0,09;0,07;0,88;3,08
PA04C;25;0,07;0,38;0,03;0,05;5,41;0,08;0;0;0,22;0,23;0,34;2,81;9,62
PA04C;26;0,13;0,11;0,02;0,01;0,04;0;0;0;0;0;0,01;0,1;0,44
PA14A;4;0,04;0;0;0;0;0,02;0;0;0,01;0,01;0,02;0,03;0,12
PA14A;5;0,03;0;0;0;0;0,03;0;0;0,01;0;0,01;0,01;0,1
PA14A;7;0,01;0;0;0;0;0,02;0;0;0;0;0;0,01;0,04
PA14A;8;0,03;0;0;0;0;0,03;0;0;0,02;0,02;0,01;0,02;0,14
PA14A;9;0,19;0;0;0;0;0,27;0;0;0,05;0,34;0,11;0,18;1,15
PA14A;10;0,1;0;0;0;0;0,77;0;0,01;0,63;0,72;0,13;0,34;2,7
PA14A;11;0,77;0,35;0;0;0;0,97;0,01;0;0,08;0,17;0,16;0,66;3,17
PA14A;21;20,65;59,2;3,6;2,87;1,9;1,84;1,79;0,22;1,03;0,37;9,85;46,59;149,91
PA14A;22;8,01;25,38;0,67;1,24;1,1;0,3;0,89;0,02;0,48;0,05;4,57;16,56;59,26
PA14A;23;5,76;14,59;2,4;0,97;0,42;0,01;0,19;0,07;0,13;0,23;0,02;0,08;24,87
PA14A;24;0,02;0,06;0,02;0;1,17;0,12;0;0;0,02;0,04;0,08;0,62;2,15
PA14A;25;0,05;0,45;0,02;0,1;3,76;0,08;0;0;0,15;0,16;0,31;2,01;7,1
PA14A;26;0,24;0,17;0,02;0;0,07;0,01;0;0;0;0;0,01;0,08;0,61
PA14B;4;0,03;0;0;0;0;0,02;0;0;0,01;0,02;0,02;0,03;0,12
PA14B;5;0,02;0;0;0;0;0,01;0;0;0;0;0;0,01;0,04
PA14B;7;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,02
PA14B;8;0,03;0;0;0;0;0,03;0;0;0,01;0,01;0,01;0,02;0,11
PA14B;9;0,17;0;0;0;0;0,2;0;0,01;0,05;0,25;0,1;0,14;0,93
PA14B;10;0,07;0;0;0;0;0,59;0;0;0,55;0,66;0,09;0,26;2,23
PA14B;11;0,54;0,23;0;0;0;0,78;0,01;0;0,06;0,07;0,12;0,46;2,27
PA14B;21;21,39;61,12;4,33;3,24;2,52;1,74;1,77;0,2;1,02;0,25;11,09;51,01;159,69
PA14B;22;3,76;11,84;0,36;0,63;0,46;0,16;0,39;0,02;0,21;0,03;2,25;8,5;28,62
PA14B;23;4,49;7,95;3,31;1;0,3;0,01;0,1;0,08;0,09;0,05;0,01;0,05;17,45
PA14B;24;0,05;0,09;0,02;0,01;1,24;0,05;0;0;0,03;0,05;0,07;0,64;2,24
PA14B;25;0,05;0,58;0,03;0,09;4,45;0,21;0,01;0;0,21;0,22;0,38;2,7;8,93
PA14B;26;0,16;0,14;0,02;0,01;0,07;0;0;0;0;0;0,01;0,11;0,52
PA15A;4;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0,03
PA15A;5;0,01;0;0;0;0;0;0;0;0;0;0;0;0,02
PA15A;8;0,04;0;0;0;0;0,04;0;0;0,01;0,01;0,02;0,02;0,14
PA15A;9;0,75;0;0;0;0;1,15;0,01;0,01;0,27;1,35;0,39;0,65;4,59
PA15A;10;0,08;0;0;0;0;0,75;0;0;0,84;1,12;0,11;0,33;3,24
PA15A;11;0,84;0,34;0;0;0;1,09;0,01;0;0,1;0,17;0,13;0,64;3,31
PA15A;21;5,98;21,5;0,52;1,23;0,86;0,27;0,69;0,04;1,21;0,22;3,12;13,85;49,5
PA15A;22;25,45;91,7;2,51;3,74;2,47;0,73;2,73;0,19;3,56;0,31;13,39;51,95;198,73
PA15A;23;3,78;24,32;0,33;0,93;0,17;0;0,32;0,02;0,24;0,13;0,01;0,01;30,27
PA15A;24;0,03;0,3;0,01;0;2,01;0,03;0;0;0,04;0,07;0,09;1,1;3,68
PA15A;25;0,04;0,51;0,01;0,12;2,2;0,06;0,01;0;0,09;0,03;0,16;1,53;4,76
PA15A;26;0,06;0,5;0,01;0,01;0,04;0,09;0;0;0,01;0,03;0,03;0,23;0,99
PA15B;4;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0,04
PA15B;5;0,01;0;0;0;0;0;0;0;0;0;0;0;0,01
PA15B;7;0;0;0;0;0;0;0;0;0;0;0;0;0,01
PA15B;8;0,04;0;0;0;0;0,04;0;0;0,01;0,01;0,02;0,02;0,13
PA15B;9;0,77;0;0;0;0;1,13;0,01;0,03;0,3;1,4;0,49;0,7;4,83
PA15B;10;0,06;0;0;0;0;0,78;0;0,01;0,76;1,24;0,11;0,33;3,29
PA15B;11;0,71;0,31;0;0;0;1,16;0,01;0;0,1;0,09;0,14;0,59;3,1
PA15B;21;13,64;45,68;1,42;2,14;1,62;0,56;1,58;0,07;2,16;0,4;7,61;30,91;107,79
PA15B;22;15,3;51,19;1,01;2,01;1,7;0,58;1,71;0,1;1,89;0,2;9,23;33,88;118,8
PA15B;23;3,44;17,85;0,62;0,85;0,18;0;0,23;0,02;0,2;0,13;0;0,01;23,53
PA15B;24;0,01;0,07;0;0,01;1,61;0,04;0;0;0,03;0,1;0,1;0,85;2,82
PA15B;25;0,02;0,26;0,01;0,1;2,87;0,15;0,01;0;0,12;0,1;0,19;1,37;5,19
PA15B;26;0,06;0,16;0,01;0,01;0,02;0,02;0;0;0;0,01;0,01;0,07;0,36
PA15C;4;0,04;0;0;0;0;0,03;0;0;0,01;0,01;0,01;0,02;0,13
PA15C;5;0,03;0;0;0;0;0,02;0,01;0;0,01;0;0,01;0,01;0,08
PA15C;7;0;0;0;0;0;0;0;0;0;0;0;0;0,01
PA15C;8;0,06;0;0;0;0;0,05;0;0;0,01;0;0,02;0,03;0,17
PA15C;9;0,58;0;0;0;0;0,83;0,02;0;0,21;1,9;0,43;0,53;4,48
PA15C;10;0,08;0;0;0;0;0,95;0;0;0,88;0,96;0,12;0,38;3,39
PA15C;11;0,73;0,36;0;0;0;0,93;0,01;0;0,09;0,04;0,14;0,62;2,92
PA15C;21;18,12;56,6;3,17;2,76;1,23;0,85;2,06;0,15;2,23;0,61;7,92;40,46;136,18
PA15C;22;11,26;35,3;0,96;1,36;0,5;0,69;1,31;0,1;1,25;0,22;5,06;23,4;81,39
PA15C;23;2,52;10,55;0,85;0,64;0,25;0,01;0,11;0,01;0,12;0,07;0,01;0,02;15,18
PA15C;24;0,02;0,11;0,01;0,01;2,05;0,02;0,01;0;0,05;0,13;0,12;1,06;3,58
PA15C;25;0,04;0,32;0,03;0,08;3,17;0,2;0;0;0,12;0,05;0,24;1,71;5,96
PA15C;26;0,07;0,18;0,01;0;0,02;0;0;0;0,01;0,01;0,01;0,11;0,42
PK01Z;4;0,05;0;0;0;0;0,02;0;0;0,01;0;0,01;0,02;0,1
PK01Z;5;0,02;0;0;0;0;0,01;0;0;0;0;0,01;0;0,04
PK01Z;7;0,02;0;0;0;0;0,01;0;0;0;0;0,01;0,02;0,05
PK01Z;8;0,02;0;0;0;0;0,02;0;0;0;0;0,01;0,01;0,06
PK01Z;9;0,09;0;0;0;0;0,09;0,01;0;0,02;0,08;0,05;0,06;0,41
PK01Z;10;0,03;0;0;0;0;0,31;0;0;0,23;0,52;0,03;0,14;1,27
PK01Z;11;0,52;0,04;0;0;0;1,07;0,01;0;0,18;0,07;0,13;0,48;2,49
PK01Z;21;32,43;115,02;8,22;8,63;4,44;4,28;0,87;0,04;1,45;0,17;13,67;68,66;257,89
PK01Z;22;6,48;22,93;1,92;2,02;0,84;0,84;0,19;0;0,25;0,08;2,66;12,37;50,58
PK01Z;23;10,43;24,69;6,29;1,05;0,41;0,05;0,09;0,02;0,21;0,04;0,01;0;43,29
PK01Z;24;0;0,35;0;0;0,77;0;0;0;0,01;0,01;0,09;0,37;1,61
PK01Z;25;0;5,13;0;0,56;5,23;0,13;0;0;0,21;0,06;0,64;2,62;14,59
PK01Z;26;0;0,33;0;0;0,43;0;0;0;0,01;0,03;0,16;0,42;1,39
PK02Z;9;0,07;0;0;0;0;0,11;0;0;0,01;0,36;0,03;0,06;0,63
PK02Z;10;0,04;0;0;0;0;1,13;0;0;0,82;2,49;0,06;0,46;4,99
PK02Z;11;0,23;0,03;0;0;0;0,65;0,01;0;0,02;0,14;0,07;0,21;1,36
PK02Z;21;14,26;100,9;5,91;4,78;2,7;1,02;1,06;0;0,82;0,27;16,84;72,08;220,65
PK02Z;22;10,95;43,81;2,14;2,8;1,42;0,88;0,31;0;0,36;0;5,23;29,71;97,62
PK02Z;23;11;23,04;6,01;1,48;0,16;0;0,18;0;0,21;0;0,01;0,05;42,15
PK02Z;24;0;0,04;0;0;2,6;0;0;0;0,17;0;0,27;0,96;4,04
PK02Z;25;0;2,26;0;1,04;5,81;0,03;0,01;0;0,18;0,11;0,95;3,12;13,51
PK02Z;26;0;0,01;0;0;0,33;0;0;0;0;0;0,01;0,34;0,69
PK03Z;4;0,03;0;0;0;0;0,03;0;0;0,02;0;0,02;0,03;0,13
PK03Z;5;0,04;0;0;0;0;0,02;0;0;0,01;0;0,01;0,01;0,08
PK03Z;7;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,02
PK03Z;8;0;0;0;0;0;0;0;0;0;0,02;0;0;0,02
PK03Z;9;0,2;0;0;0;0;0,25;0,01;0;0,02;0,67;0,1;0,14;1,39
PK03Z;10;0,06;0;0;0;0;0,52;0;0;0,38;0,76;0,06;0,25;2,03
PK03Z;11;0,31;0,03;0;0;0;0,87;0,01;0;0,13;0,12;0,07;0,36;1,89
PK03Z;21;26,78;98,8;7,3;5,62;2,83;3,02;0,85;0,01;1,09;0,14;12,66;59,62;218,71
PK03Z;22;10,34;41,35;2,46;2,22;0,86;1,22;0,22;0;0,33;0,01;4,02;21,21;84,23
PK03Z;23;11,02;25,78;4,7;0,83;0,33;0,01;0,08;0;0,16;0;0,02;0,14;43,07
PK03Z;24;0;0,2;0;0;0,83;0,14;0;0;0,02;0,01;0,06;0,42;1,68
PK03Z;25;0;5,45;0;1,08;5,36;0,1;0,01;0;0,2;0;0,72;3,35;16,26
PK03Z;26;0;0;0;0;0,19;0;0;0;0;0;0;0,19;0,38
PK04A;4;0,01;0;0;0;0;0;0;0;0;0;0;0;0,02
PK04A;5;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,03
PK04A;7;0,02;0;0;0;0;0,02;0;0;0;0;0;0,01;0,05
PK04A;8;0;0;0;0;0;0;0;0;0;0;0;0;0,01
PK04A;9;0,11;0;0;0;0;0,11;0;0;0,01;0,12;0,05;0,05;0,44
PK04A;10;0,06;0;0;0;0;0,41;0;0;0,31;0,67;0,05;0,22;1,73
PK04A;11;0,63;0,01;0;0;0;0,84;0;0;0,23;0,14;0,11;0,44;2,41
PK04A;21;29,58;113,83;8,88;5,55;4,21;3,92;0,78;0,01;3,16;0,09;16,21;69,92;256,12
PK04A;22;8,31;30,78;2,73;1,96;0,97;0,38;0,22;0;0,24;0;3,31;17,7;66,6
PK04A;23;9,86;31,99;6,18;1,08;0,86;0,01;0,04;0,02;0,12;0,01;0,01;0,07;50,24
PK04A;24;0,01;0,37;0;0;0,9;0;0;0;0,04;0,02;0,09;0,41;1,83
PK04A;25;0;3,65;0,01;0,65;4,75;0,23;0,01;0;0,2;0,02;0,84;2,93;13,29
PK04A;26;0;0,01;0;0;0,1;0;0;0;0;0;0,01;0,06;0,19
