ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8
PA02A;11;0,75;0,79;0,00;0,00;0,00;0,85;0,01;0,00;0,00;0,11;0,11;0,18;0,66
PA02B;21;17,72;56,74;2,64;3,78;2,27;0,95;1,29;0,39;0,00;1,25;0,20;9,04;42,86
PA02B;22;10,58;35,45;1,47;2,22;1,36;0,41;0,84;0,33;0,00;0,75;0,06;5,52;24,72
PA02B;23;4,93;10,30;1,48;1,42;0,31;0,00;0,09;0,06;0,00;0,09;0,02;0,00;0,00
PA02B;24;0,00;0,01;0,00;0,00;0,48;0,00;0,00;0,00;0,00;0,01;0,05;0,02;0,22
PA02B;25;0,00;0,39;0,00;0,05;2,46;0,00;0,01;0,00;0,00;0,06;0,05;0,18;1,26
PA02B;26;0,02;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA02B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,01
PA02B;5;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA02B;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA02B;9;0,17;0,00;0,00;0,00;0,00;0,19;0,01;0,00;0,00;0,07;0,35;0,08;0,12
PA02B;10;0,19;0,00;0,00;0,00;0,00;1,30;0,01;0,00;0,00;1,48;2,37;0,17;0,63
PA02B;11;0,72;0,83;0,00;0,00;0,00;0,95;0,01;0,00;0,00;0,12;0,12;0,17;0,64
PA02C;21;19,27;56,65;3,01;3,88;2,22;1,14;1,23;0,12;0,00;1,18;0,14;10,40;46,44
PA02C;22;7,74;23,07;0,95;1,27;0,85;0,34;0,54;0,07;0,00;0,57;0,07;3,94;16,63
PA02C;23;5,16;9,93;1,79;1,67;0,32;0,00;0,08;0,01;0,00;0,11;0,01;0,00;0,00
PA02C;24;0,00;0,02;0,00;0,00;0,58;0,01;0,00;0,00;0,00;0,01;0,11;0,03;0,25
PA02C;25;0,00;0,66;0,00;0,10;3,14;0,00;0,01;0,00;0,00;0,09;0,08;0,23;1,72
PA02C;26;0,04;0,04;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA02C;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA02C;9;0,28;0,00;0,00;0,00;0,00;0,31;0,01;0,00;0,00;0,08;0,44;0,13;0,18
PA02C;10;0,13;0,00;0,00;0,00;0,00;0,88;0,02;0,00;0,00;0,97;1,48;0,11;0,41
PA02C;11;0,76;0,77;0,00;0,00;0,00;0,94;0,01;0,00;0,00;0,10;0,17;0,16;0,62
PA02D;21;19,83;55,79;2,93;3,74;2,40;0,97;1,28;0,16;0,00;1,11;0,14;10,08;46,66
PA02D;22;7,81;22,57;1,02;1,28;0,89;0,33;0,55;0,02;0,00;0,54;0,06;3,80;16,57
PA02D;23;6,31;9,51;1,23;1,21;0,23;0,00;0,08;0,02;0,00;0,15;0,02;0,00;0,00
PA02D;24;0,00;0,10;0,00;0,00;0,48;0,01;0,00;0,00;0,00;0,01;0,04;0,03;0,19
PA02D;25;0,00;1,05;0,01;0,12;2,54;0,00;0,01;0,00;0,00;0,08;0,06;0,21;1,27
PA02D;26;0,05;0,06;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA02D;8;0,03;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00;0,01;0,02
PA02D;9;0,26;0,00;0,00;0,00;0,00;0,28;0,01;0,00;0,00;0,11;0,40;0,13;0,17
PA02D;10;0,14;0,00;0,00;0,00;0,00;1,06;0,01;0,01;0,00;1,21;1,50;0,15;0,49
PA02D;11;0,97;1,04;0,00;0,00;0,00;1,33;0,02;0,00;0,00;0,14;0,13;0,19;0,83
PA03A;21;15,49;46,93;2,19;2,41;2,12;0,81;1,24;0,54;0,00;1,09;0,17;7,57;35,37
PA03A;22;12,92;43,06;1,35;2,04;1,67;0,52;1,12;0,46;0,00;1,19;0,16;6,34;29,08
PA03A;23;4,01;13,64;0,81;0,69;0,25;0,00;0,10;0,03;0,00;0,10;0,01;0,00;0,00
PA03A;24;0,00;0,05;0,00;0,00;0,83;0,01;0,00;0,00;0,00;0,02;0,07;0,04;0,37
PA03A;25;0,00;0,41;0,00;0,07;3,24;0,00;0,01;0,00;0,00;0,10;0,27;0,22;1,33
PA03A;26;0,01;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA03A;5;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03A;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA03A;9;0,26;0,00;0,00;0,00;0,00;0,29;0,01;0,00;0,00;0,08;0,61;0,13;0,18
PA03A;10;0,07;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,58;0,97;0,06;0,24
PA03A;11;0,58;0,39;0,00;0,00;0,00;0,76;0,01;0,00;0,00;0,08;0,13;0,13;0,46
PA03B;21;18,19;52,42;2,67;2,99;2,32;0,93;1,42;0,42;0,00;1,02;0,18;8,73;42,05
PA03B;22;8,18;26,57;0,84;1,31;0,99;0,33;0,75;0,17;0,00;0,63;0,07;4,26;19,57
PA03B;23;4,07;7,78;1,12;0,71;0,26;0,00;0,07;0,02;0,00;0,06;0,01;0,00;0,00
PA03B;24;0,00;0,06;0,00;0,00;0,54;0,01;0,00;0,00;0,00;0,02;0,04;0,04;0,25
