IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
I68D;M47.96;6;0,0057
I68D;M54.3;6;0,0057
I68D;M47.22;5;0,0048
I68D;M47.26;5;0,0048
I68D;M48.02;5;0,0048
I68D;S32.01;5;0,0048
I68D;M54.5;4;0,0038
L06B;N39.3;61;0,5304
L06B;N32.0;17;0,1478
L06B;N39.42;8;0,0696
L06B;N32.8;7;0,0609
L06B;C67.9;6;0,0522
L17B;N35.8;40;0,40
L17B;N35.9;20;0,20
L17B;N36.2;7;0,07
L17B;N39.3;6;0,06
L17B;N35.0;5;0,05
L17B;N35.1;4;0,04
L20B;C67.2;27;0,2477
L20B;C67.0;18;0,1651
L20B;C67.8;12;0,1101
L20B;N20.0;11;0,1009
L20B;N20.1;6;0,055
L20B;C67.6;5;0,0459
L20B;D41.4;5;0,0459
L20B;N20.2;5;0,0459
L20B;C67.9;4;0,0367
L20C;C67.9;107;0,2008
L20C;C67.8;78;0,1463
L20C;C67.2;74;0,1388
L20C;N20.1;47;0,0882
L20C;N13.2;36;0,0675
L20C;N21.0;24;0,045
L20C;C67.0;23;0,0432
L20C;D41.4;23;0,0432
L20C;N30.2;23;0,0432
L20C;C67.4;13;0,0244
L20C;D30.3;10;0,0188
L20C;N30.8;10;0,0188
L20C;C67.5;8;0,015
L20C;C67.6;6;0,0113
L20C;N30.0;6;0,0113
L20C;C67.3;5;0,0094
L20C;N32.8;5;0,0094
L63F;N39.0;61;0,5169
L63F;N10;34;0,2881
L63F;N30.0;16;0,1356
L64A;R31;31;0,164
L64A;N20.1;23;0,1217
L64A;N13.2;22;0,1164
L64A;N13.1;20;0,1058
L64A;N13.3;15;0,0794
L64A;T83.0;12;0,0635
L64A;N13.0;11;0,0582
L64A;N13.5;8;0,0423
L64A;N39.41;8;0,0423
L64A;N39.0;5;0,0265
L64A;R33;5;0,0265
L64A;R39.1;4;0,0212
L64C;N20.1;31;0,4026
L64C;R33;15;0,1948
L64C;N13.2;12;0,1558
L64C;N20.0;6;0,0779
L64C;N23;6;0,0779
M02B;N40;327;0,845
M02B;C61;45;0,1163
M02B;D29.1;9;0,0233
M04D;N43.3;30;0,3333
M04D;N43.0;17;0,1889
M04D;N43.2;15;0,1667
M04D;N43.4;8;0,0889
M04D;N44.0;5;0,0556
M04D;N45.9;5;0,0556
N05B;D27;38;0,5067
N05B;N83.2;20;0,2667
N05B;N83.0;4;0,0533
N06Z;N81.1;62;0,6078
N06Z;N81.6;16;0,1569
N06Z;N81.2;6;0,0588
N06Z;N99.3;6;0,0588
N07Z;N81.4;22;0,1438
N07Z;D25.1;18;0,1176
N07Z;D25.0;17;0,1111
N07Z;N92.0;14;0,0915
N07Z;N80.0;12;0,0784
N07Z;N80.1;12;0,0784
N07Z;N85.2;9;0,0588
N07Z;D25.9;7;0,0458
N07Z;N92.1;7;0,0458
N07Z;N80.3;4;0,0261
N07Z;N81.2;4;0,0261
N07Z;N87.2;4;0,0261
N14Z;N81.2;69;0,3594
N14Z;N81.4;55;0,2865
N14Z;D25.1;15;0,0781
N14Z;N81.1;15;0,0781
N14Z;N81.3;13;0,0677
N14Z;N81.5;7;0,0365
N14Z;N92.1;5;0,026
N21Z;D25.1;52;0,2737
N21Z;D25.9;27;0,1421
N21Z;N92.1;16;0,0842
N21Z;N80.0;14;0,0737
N21Z;N92.4;14;0,0737
N21Z;D25.0;13;0,0684
N21Z;D25.2;12;0,0632
N21Z;D27;7;0,0368
N21Z;N81.4;5;0,0263
N21Z;N85.2;4;0,0211
N21Z;N92.0;4;0,0211
O01E;O65.4;27;0,1508
O01E;O63.0;23;0,1285
O01E;O68.0;17;0,095
O01E;O48;13;0,0726
O01E;O36.3;9;0,0503
O01E;O64.0;9;0,0503
O01E;O34.2;7;0,0391
O01E;O36.5;6;0,0335
O01E;O42.0;5;0,0279
O01E;O62.1;5;0,0279
O01E;O68.2;5;0,0279
O01E;O24.4;4;0,0223
O01E;O60.1;4;0,0223
O01E;O61.0;4;0,0223
O01E;O64.1;4;0,0223
O01F;O65.4;72;0,2215
O01F;O68.0;43;0,1323
O01F;O33.4;28;0,0862
O01F;O34.2;20;0,0615
O01F;O36.3;17;0,0523
O01F;O42.0;15;0,0462
O01F;O64.0;15;0,0462
O01F;O48;10;0,0308
O01F;O64.1;10;0,0308
O01F;O68.2;9;0,0277
O01F;O30.0;5;0,0154
O01F;O64.5;5;0,0154
O01F;O64.8;4;0,0123
O01F;O66.1;4;0,0123
O01F;O69.2;4;0,0123
O01F;O75.8;4;0,0123
O01G;O24.4;10;0,1333
O01G;O34.2;9;0,12
O01G;O65.4;9;0,12
O01G;O64.1;5;0,0667
O01G;O14.0;4;0,0533
O01G;O14.2;4;0,0533
O01H;O65.4;96;0,3077
O01H;O34.2;70;0,2244
O01H;O64.1;38;0,1218
O01H;O33.4;33;0,1058
O01H;O32.1;13;0,0417
O01H;O82;8;0,0256
O01H;O65.1;7;0,0224
O01H;O99.0;6;0,0192
O01H;O33.5;5;0,016
O01H;O68.0;4;0,0128
O60C;O62.1;46;0,1438
O60C;O48;37;0,1156
O60C;O63.1;37;0,1156
O60C;O70.2;18;0,0563
O60C;O80;16;0,05
O60C;O42.0;15;0,0469
O60C;O68.0;15;0,0469
O60C;O24.4;14;0,0438
O60C;O41.0;12;0,0375
O60C;O60.1;11;0,0344
O60C;O36.5;10;0,0313
O60C;O70.0;9;0,0281
O60C;O42.11;8;0,025
O60C;O43.8;8;0,025
O60C;O70.1;8;0,025
O60C;O75.6;8;0,025
O60C;O81;8;0,025
O60C;O72.1;4;0,0125
O60D;O80;489;0,2841
O60D;O70.0;234;0,136
O60D;O62.1;151;0,0877
O60D;O70.1;136;0,079
O60D;O68.0;123;0,0715
O60D;O48;86;0,05
O60D;O42.0;68;0,0395
O60D;O69.1;54;0,0314
O60D;O68.1;40;0,0232
O60D;O68.2;39;0,0227
O60D;O81;37;0,0215
