IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_PCCL7;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
03 ;D06C;1500;0,96;0,0273;0,0093;0,0033;0,00;0,00;0,00;0,00;0,5607;0,4393;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0167;0,2167;0,1927;0,228;0,1093;0,076;0,0693;0,0693;0,016;0,006;0,2285;0,6951;0,0765;1;6;3,20;0,527;0,0658;1,10;1509,54;320,05
03 ;D12B;273;0,9451;0,0293;0,022;0,0037;0,00;0,00;0,00;0,00;0,5788;0,4212;0,00;0,00;0,00;0,00;0,00;0,0073;0,0147;0,0183;0,2271;0,2015;0,1832;0,0806;0,0476;0,0293;0,0659;0,0513;0,0733;0,273;0,7165;0,0105;1;8;3,80;0,507;0,012;1,40;1452,87;373,76
03 ;D13B;90;0,40;0,0667;0,2111;0,30;0,0222;0,00;0,00;0,00;0,4556;0,5444;0,00;0,00;0,00;0,0222;0,10;0,00;0,0222;0,0111;0,0333;0,0222;0,0333;0,0444;0,0111;0,0333;0,20;0,1556;0,3111;0,7764;0,1899;0,0338;1;5;2,80;0,403;0,0039;0,80;1153,92;413,92
03 ;D22B;75;0,5733;0,16;0,1733;0,0933;0,00;0,00;0,00;0,00;0,5467;0,4533;0,00;0,00;0,00;0,00;0,00;0,00;0,0133;0,0133;0,04;0,0267;0,0533;0,0533;0,0933;0,04;0,2533;0,1467;0,2667;0,3248;0,641;0,0342;1;6;3,20;0,492;0,0033;0,90;1410,47;332,65
03 ;D28Z;92;0,9457;0,0543;0,00;0,00;0,00;0,00;0,00;0,00;0,4022;0,5978;0,00;0,00;0,00;0,00;0,00;0,00;0,0217;0,0978;0,413;0,1957;0,163;0,0217;0,0217;0,0217;0,0326;0,0109;0,00;0,0874;0,8932;0,0194;1;8;3,70;0,803;0,004;1,60;2301,92;611,94
03 ;D30A;222;0,9369;0,0315;0,027;0,0045;0,00;0,00;0,00;0,00;0,4459;0,5541;0,00;0,00;0,00;0,00;0,018;0,045;0,0766;0,0135;0,1261;0,1261;0,1982;0,1171;0,0901;0,0766;0,0856;0,027;0,00;0,2014;0,7577;0,041;1;7;3,20;0,534;0,0097;1,30;1531,35;299,63
03 ;D30B;2492;0,9803;0,014;0,0024;0,0032;0,00;0,00;0,00;0,00;0,3904;0,6096;0,00;0,00;0,00;0,0112;0,116;0,1075;0,1144;0,0658;0,3591;0,1316;0,0486;0,0148;0,0116;0,0056;0,0092;0,0032;0,0012;0,1426;0,8362;0,0211;1;8;4,20;0,474;0,1093;1,60;1358,30;325,17
03 ;D37B;144;0,9861;0,00;0,0069;0,0069;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0347;0,3958;0,2222;0,1667;0,0903;0,0347;0,0069;0,0278;0,0208;0,00;0,232;0,7423;0,0258;1;6;3,00;0,569;0,0063;0,90;1630,99;471,55
03 ;D38Z;1384;0,974;0,0123;0,0094;0,0043;0,00;0,00;0,00;0,00;0,612;0,388;0,00;0,00;0,00;0,00;0,00;0,0065;0,0217;0,0527;0,3902;0,2081;0,1741;0,0578;0,039;0,021;0,0195;0,0058;0,0036;0,2317;0,6927;0,0756;1;6;3,10;0,467;0,0607;1,20;1339,10;349,86
03 ;D40Z;92;0,3696;0,3587;0,1739;0,087;0,0109;0,00;0,00;0,00;0,4783;0,5217;0,00;0,00;0,00;0,00;0,00;0,00;0,0109;0,00;0,0109;0,00;0,0543;0,0217;0,0435;0,0435;0,1848;0,1739;0,4565;0,6391;0,3459;0,015;1;5;2,40;0,426;0,004;0,60;1220,58;241,10
03 ;D61A;165;0,9636;0,0242;0,0061;0,0061;0,00;0,00;0,00;0,00;0,4242;0,5758;0,00;0,00;0,00;0,00;0,00;0,00;0,0061;0,0061;0,0788;0,0788;0,1576;0,0909;0,1212;0,097;0,1939;0,1091;0,0606;0,0282;0,9322;0,0395;1;10;5,20;0,357;0,0072;2,00;1023,54;357,25
03 ;D61B;76;0,9737;0,0132;0,0132;0,00;0,00;0,00;0,00;0,00;0,2237;0,7763;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1316;0,1184;0,1447;0,1316;0,0395;0,1316;0,1711;0,0789;0,0526;0,0449;0,8539;0,1011;1;9;4,80;0,342;0,0033;1,70;979,88;292,10
03 ;D62Z;185;0,9243;0,0432;0,027;0,0054;0,00;0,00;0,00;0,00;0,5405;0,4595;0,00;0,00;0,00;0,00;0,0378;0,0378;0,0432;0,0432;0,2757;0,1189;0,1243;0,027;0,0378;0,0216;0,0811;0,0541;0,0973;0,1895;0,746;0,0645;1;6;3,20;0,239;0,0081;1,10;683,82;193,54
