IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
07 ;H61B;72;0,6806;0,1944;0,0833;0,0417;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,0972;0,2639;0,0694;0,25;0,1528;0,1667;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3186;0,6372;0,0442;1;7;3,40;1,011;0,00;1,10;2955,70;1118,80
07 ;H61C;8094;0,2229;0,2367;0,2339;0,3018;0,0047;0,00;0,00;0,5318;0,4682;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0038;0,013;0,0547;0,0692;0,1075;0,1266;0,302;0,178;0,1452;0,3315;0,6003;0,0682;1;12;4,70;0,663;0,0031;3,00;1938,54;1048,40
07 ;H62A;103;0,6311;0,1359;0,1068;0,1068;0,0194;0,00;0,00;0,4951;0,5049;0,00;0,00;0,00;0,0777;0,1553;0,233;0,534;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1579;0,7744;0,0677;1;11;5,00;0,863;0,00;2,50;2514,47;1237,35
07 ;H62B;10562;0,352;0,1473;0,1953;0,2757;0,0296;0,00;0,00;0,6674;0,3326;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0045;0,0346;0,0778;0,1643;0,1277;0,1282;0,1214;0,1864;0,079;0,0761;0,1228;0,7996;0,0776;1;15;7,00;0,814;0,004;3,70;2372,79;1211,90
07 ;H62C;752;0,5319;0,2048;0,1516;0,0971;0,0146;0,00;0,00;0,6596;0,3404;0,00;0,00;0,0027;0,00;0,0013;0,008;0,016;0,0093;0,0359;0,0612;0,1689;0,1383;0,1303;0,0771;0,1463;0,0944;0,1104;0,1716;0,7681;0,0603;1;12;5,30;0,637;0,0003;2,80;1859,18;810,96
07 ;H63A;581;0,00;0,00;0,0017;0,6334;0,3563;0,0086;0,00;0,599;0,401;0,00;0,00;0,0155;0,0017;0,0069;0,00;0,0017;0,0086;0,0224;0,0396;0,0861;0,0912;0,1205;0,1205;0,2169;0,1291;0,1394;0,164;0,7625;0,0735;3;23;10,90;1,569;0,0002;5,50;4590,00;2526,03
07 ;H63B;1000;0,263;0,139;0,174;0,352;0,072;0,00;0,00;0,556;0,444;0,00;0,00;0,00;0,005;0,008;0,024;0,026;0,019;0,091;0,072;0,09;0,077;0,095;0,075;0,176;0,114;0,128;0,1209;0,8117;0,0674;2;19;8,60;1,121;0,0004;4,50;3274,17;1606,12
07 ;H63C;2059;0,6935;0,171;0,1355;0,00;0,00;0,00;0,00;0,4808;0,5192;0,00;0,00;0,016;0,0058;0,0121;0,0204;0,0408;0,0267;0,103;0,0947;0,1263;0,1025;0,0957;0,0724;0,1389;0,0763;0,0685;0,401;0,5428;0,0562;1;11;4,90;0,636;0,0008;2,50;1858,80;829,83
07 ;H64Z;4338;0,6471;0,1498;0,1012;0,0809;0,021;0,00;0,00;0,4567;0,5433;0,00;0,00;0,0025;0,0005;0,0005;0,0014;0,0092;0,0065;0,0505;0,0682;0,1132;0,0786;0,0802;0,0853;0,1833;0,1226;0,1976;0,2548;0,6866;0,0586;1;11;4,90;0,582;0,0017;2,60;1695,55;715,80
07 ;H77Z;310;0,00;0,0097;0,0645;0,3806;0,5419;0,0032;0,00;0,60;0,40;0,00;0,00;0,0032;0,0065;0,0032;0,00;0,00;0,00;0,0194;0,0258;0,10;0,0774;0,071;0,129;0,2032;0,1806;0,1806;0,00;0,9172;0,0828;;27;13,80;2,079;0,0001;6,10;6085,29;2964,22
