IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
05 ;F69A;6443;0,00;0,00;0,00;0,673;0,327;0,4478;0,5522;0,00;0,00;0,00;0,0002;0,0002;0,0002;0,0006;0,00;0,0047;0,0053;0,0133;0,0178;0,0261;0,0388;0,187;0,2061;0,4998;0,1482;0,7765;0,0753;3;22;10,30;1,297;0,0005;4,50
05 ;F69B;8885;0,523;0,2163;0,2607;0,00;0,00;0,4807;0,5193;0,00;0,00;0,002;0,0005;0,0021;0,0014;0,003;0,0009;0,0105;0,0129;0,0282;0,0275;0,0364;0,0554;0,203;0,2119;0,4043;0,1957;0,744;0,0604;1;12;5,20;0,595;0,0007;2,50
05 ;F70A;983;0,00;0,00;0,00;0,00;1,00;0,6704;0,3296;0,00;0,00;0,00;0,00;0,00;0,00;0,002;0,001;0,0031;0,0041;0,0153;0,0254;0,0407;0,0549;0,2258;0,2096;0,4181;0,3591;0,5893;0,0516;3;26;11,60;1,913;0,0001;5,30
05 ;F70B;9755;0,4212;0,2137;0,1772;0,1878;0,00;0,6232;0,3768;0,00;0,00;0,0017;0,0011;0,0017;0,0029;0,0096;0,0069;0,0344;0,0343;0,0624;0,0497;0,06;0,0816;0,2215;0,173;0,2589;0,3935;0,5566;0,0499;1;12;5,00;0,701;0,0007;2,50
05 ;F71A;9697;0,1015;0,0338;0,0169;0,0036;0,8442;0,4266;0,5734;0,00;0,00;0,0006;0,0002;0,0002;0,0004;0,0004;0,0013;0,016;0,0117;0,0255;0,0243;0,0342;0,052;0,2013;0,1914;0,4404;0,1476;0,7751;0,0772;2;20;9,20;1,222;0,0007;4,40
05 ;F71B;179526;0,5757;0,2125;0,121;0,0907;0,00;0,4541;0,5458;0,00;0,00;0,0013;0,0006;0,0007;0,0017;0,0056;0,004;0,0239;0,0252;0,0525;0,0479;0,0634;0,0877;0,2677;0,1885;0,2291;0,2883;0,6607;0,051;1;10;4,20;0,508;0,0133;2,00
05 ;F72A;1091;0,00;0,00;0,00;0,00;1,00;0,5518;0,4482;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0009;0,0046;0,0101;0,0165;0,022;0,0367;0,2016;0,2044;0,5032;0,1196;0,8004;0,08;2;20;9,00;1,02;0,0001;4,40
05 ;F72B;40069;0,5658;0,2306;0,1215;0,082;0,00;0,5471;0,4529;0,00;0,00;0,00;0,00;0,00;0,00;0,0001;0,0003;0,0066;0,0181;0,0712;0,0724;0,0817;0,095;0,2308;0,1697;0,254;0,3321;0,62;0,0479;1;9;3,90;0,48;0,003;1,70
05 ;F73Z;134189;0,5911;0,1896;0,1168;0,0894;0,013;0,4375;0,5625;0,00;0,00;0,0003;0,0009;0,0029;0,0085;0,0515;0,0263;0,058;0,0349;0,059;0,0442;0,0497;0,0559;0,1677;0,152;0,2882;0,2375;0,712;0,0505;1;10;4,30;0,525;0,0099;2,00
05 ;F74Z;52141;0,7627;0,1403;0,0616;0,0329;0,0025;0,5148;0,4852;0,00;0,00;0,0006;0,0003;0,0013;0,0055;0,0257;0,0143;0,0519;0,0722;0,1382;0,0941;0,0884;0,0859;0,1695;0,1069;0,145;0,5352;0,4332;0,0315;1;7;3,20;0,417;0,0039;1,20
